firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.009701793868339675,17
1,6,0.012244871701853507,14
2,0,0.02133216815085936,22
3,3,0.028361997211074384,23
4,5,0.009912666385334138,18
5,0,0.008257492547720518,9
6,5,0.012150252041713336,22
7,6,0.009802192528245593,8
8,4,0.014833874825983355,17
9,1,0.019792666986093263,10
10,5,0.012794378863933595,9
11,2,0.008661272423160152,6
12,5,0.012290798003460538,9
13,5,0.01954648497697435,11
14,0,0.005103303856017427,5
15,0,0.011223672828680645,11
16,0,0.01587942841754699,7
17,0,0.013435062881655177,8
18,2,0.009858619496374647,6
19,0,0.010402201969406284,3
20,7,0.019130579831014665,3
21,7,0.00933246174070029,5
22,1,0.022362922751179213,5
23,2,0.008916844825073962,3
24,5,0.011616989186043083,6
25,5,0.010409690683248877,4
26,4,0.009872431016680776,3
27,7,0.015507515039891957,3
28,5,0.021197941146744302,7
29,5,0.008884869753363176,4
30,4,0.009530346360117294,4
31,4,0.018048484609694732,4
32,2,0.0066720344489903625,6
33,4,0.012261678630054467,5
34,7,0.008081986822161645,7
35,3,0.014538921102983946,3
36,1,0.009829088209724708,5
37,4,0.012825027652069637,3
38,6,0.008832014658385384,7
39,7,0.012461145938762167,3
40,4,0.011185110215167347,4
41,6,0.01657664970217379,5
42,2,0.01315310682461116,3
43,3,0.010239813587370545,5
44,3,0.016470046346459422,3
45,2,0.015039897310591934,5
46,5,0.012011871094225557,4
47,7,0.009666496199783882,3
48,2,0.013199530350808468,4
49,1,0.01452726421005714,5
50,6,0.00949360203457193,3
51,6,0.013651176430498938,7
52,7,0.015254890662573076,3
53,2,0.009012912535505967,3
54,5,0.015278391868240053,3
55,5,0.0094771613931276,3
56,6,0.010914009564943813,4
57,6,0.01062813217734272,3
58,7,0.01225522320343021,3
59,3,0.010694177279643854,4
60,0,0.013931786231894987,3
61,1,0.013932094210792454,3
62,7,0.018228779567772732,3
63,6,0.0171145424885461,5
64,0,0.009631954166057192,4
65,2,0.01034989776009311,3
66,1,0.008895568373456574,3
67,2,0.011097075066981725,3
68,5,0.015617651354768957,5
69,4,0.009043501243528419,3
70,3,0.01226525685311859,3
71,3,0.010843916507209431,3
72,5,0.011180322599494207,4
73,5,0.016624533161657934,3
74,0,0.009514207427767206,3
75,1,0.00876484396454252,3
76,2,0.006554640376853472,3
77,3,0.006695623342040301,3
78,7,0.013331850017923105,3
79,7,0.011754317923061947,3
