sp500,DGS10
0.008860129,-0.023809113
0.010669259,0.070090756
0.0034378723,-0.075194776
-0.0028107045,-0.035738576
0.0012036012,-0.13899055
-0.009773605,-0.0076451343
0.009609871,-0.036188483
-0.0076958304,-0.008405252
-0.0060283314,0.030888628
0.0057372805,0.052467994
-0.022074476,-0.030799298
-0.009182654,0.013842477
0.005968014,0.018800078
0.0019145248,-0.010865551
-0.002436439,-0.023257686
-0.00036515162,0.017149925
-0.0059026415,0.006115496
0.010833725,0.031190889
0.015204465,0.089430645
0.008774333,0.08981096
-0.0029146587,-0.0237804
-0.000104305334,-0.021522714
0.002647088,0.025198877
0.0028858935,0.008049875
-0.0033731032,-0.124907605
0.007892108,-0.05019082
-0.00033205905,-0.022225091
0.008928197,0.039045937
-0.0041004014,-0.07470677
0.003964292,-0.015857903
-0.0062169665,0.02201027
-0.0052242167,-0.005975034
0.005747024,0.020172749
0.003288691,0.0066936975
-0.0012793208,-0.007491802
0.0024910828,-0.08064391
-0.012032098,0.016544078
-0.0016029065,0.021688046
-0.011325741,-0.017506476
-0.008906294,-0.027570242
-0.010087824,-0.03701903
-0.021291152,-0.117147356
0.0025387658,0.020664928
0.01955622,0.0062023085
-0.009505365,-0.010352068
0.01012552,-0.0037157137
0.014095608,0.0009245157
0.0028429243,-0.06008341
0.023972478,0.012933764
-0.0070768055,-0.003952208
-0.011877473,-0.014391421
0.0072357114,0.0009115419
0.0029133307,-0.0011829163
0.020592805,0.037703887
-0.0027685545,0.01662076
0.010871718,-0.02076296
0.0058973352,-0.0075200717
-0.0034173813,0.053438358
0.002185426,0.009321236
-0.0039982423,-0.03096133
-0.0034551513,-0.080840096
-0.01209851,-0.03913372
-0.007022117,-0.03207057
0.001145016,-0.0071203257
0.009586392,-0.016860517
-0.015470797,0.0040506376
0.003982627,0.04991955
0.00053791655,0.017327942
-0.007820182,0.011732278
-0.0064243227,-0.036126018
-0.0100496225,0.068904944
0.009674067,0.0868075
0.0023652115,0.013363286
0.0032241556,-0.0067971447
-0.0070046596,-0.039649885
-0.013440095,-0.06893938
-0.014376128,-0.062225387
0.01276128,0.020855883
0.007859949,0.045793418
0.007576699,0.026854167
0.0070631,0.026191244
0.0039788373,0.008635706
-0.0033560623,-0.016026707
